SystemName,Region,Constellation,SecurityStatus,TrueSec,SystemClass,Stargates,Stations,Faction
SIN-10K,Sinq Laison,Sinq Laison Constellation 3,0.8,0.75,Highsec Empire System,4,3,Gallente
SIN-11L,Sinq Laison,Sinq Laison Constellation 3,0.8,0.75,Highsec Empire System,4,3,Gallente
HEI-01B,Heimatar,Heimatar Constellation 1,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-02C,Heimatar,Heimatar Constellation 1,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-03D,Heimatar,Heimatar Constellation 1,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-04E,Heimatar,Heimatar Constellation 1,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-05F,Heimatar,Heimatar Constellation 2,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-06G,Heimatar,Heimatar Constellation 2,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-07H,Heimatar,Heimatar Constellation 2,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-08I,Heimatar,Heimatar Constellation 2,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-09J,Heimatar,Heimatar Constellation 3,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-10K,Heimatar,Heimatar Constellation 3,0.8,0.75,Highsec Empire System,4,3,Minmatar
HEI-11L,Heimatar,Heimatar Constellation 3,0.8,0.75,Highsec Empire System,4,3,Minmatar
MET-01B,Metropolis,Metropolis Constellation 1,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-02C,Metropolis,Metropolis Constellation 1,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-03D,Metropolis,Metropolis Constellation 1,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-04E,Metropolis,Metropolis Constellation 1,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-05F,Metropolis,Metropolis Constellation 2,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-06G,Metropolis,Metropolis Constellation 2,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-07H,Metropolis,Metropolis Constellation 2,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-08I,Metropolis,Metropolis Constellation 2,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-09J,Metropolis,Metropolis Constellation 3,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-10K,Metropolis,Metropolis Constellation 3,0.7,0.65,Highsec Empire System,4,3,Minmatar
MET-11L,Metropolis,Metropolis Constellation 3,0.7,0.65,Highsec Empire System,4,3,Minmatar
LON-01B,Lonetrek,Lonetrek Constellation 1,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-02C,Lonetrek,Lonetrek Constellation 1,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-03D,Lonetrek,Lonetrek Constellation 1,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-04E,Lonetrek,Lonetrek Constellation 1,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-05F,Lonetrek,Lonetrek Constellation 2,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-06G,Lonetrek,Lonetrek Constellation 2,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-07H,Lonetrek,Lonetrek Constellation 2,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-08I,Lonetrek,Lonetrek Constellation 2,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-09J,Lonetrek,Lonetrek Constellation 3,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-10K,Lonetrek,Lonetrek Constellation 3,0.7,0.65,Highsec Empire System,4,3,Caldari
LON-11L,Lonetrek,Lonetrek Constellation 3,0.7,0.65,Highsec Empire System,4,3,Caldari
ESS-01B,Essence,Essence Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-02C,Essence,Essence Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-03D,Essence,Essence Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-04E,Essence,Essence Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-05F,Essence,Essence Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-06G,Essence,Essence Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-07H,Essence,Essence Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-08I,Essence,Essence Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-09J,Essence,Essence Constellation 3,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-10K,Essence,Essence Constellation 3,0.7,0.65,Highsec Empire System,4,3,Gallente
ESS-11L,Essence,Essence Constellation 3,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-01B,Everyshore,Everyshore Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-02C,Everyshore,Everyshore Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-03D,Everyshore,Everyshore Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-04E,Everyshore,Everyshore Constellation 1,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-05F,Everyshore,Everyshore Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-06G,Everyshore,Everyshore Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-07H,Everyshore,Everyshore Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-08I,Everyshore,Everyshore Constellation 2,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-09J,Everyshore,Everyshore Constellation 3,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-10K,Everyshore,Everyshore Constellation 3,0.7,0.65,Highsec Empire System,4,3,Gallente
EVE-11L,Everyshore,Everyshore Constellation 3,0.7,0.65,Highsec Empire System,4,3,Gallente
PLA-01B,Placid,Placid Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-02C,Placid,Placid Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-03D,Placid,Placid Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-04E,Placid,Placid Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-05F,Placid,Placid Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-06G,Placid,Placid Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-07H,Placid,Placid Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-08I,Placid,Placid Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-09J,Placid,Placid Constellation 3,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-10K,Placid,Placid Constellation 3,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
PLA-11L,Placid,Placid Constellation 3,0.4,0.35,Lowsec Sovereign System,4,1,Gallente / FW
BLA-01B,Black Rise,Black Rise Constellation 1,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-02C,Black Rise,Black Rise Constellation 1,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-03D,Black Rise,Black Rise Constellation 1,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-04E,Black Rise,Black Rise Constellation 1,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-05F,Black Rise,Black Rise Constellation 2,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-06G,Black Rise,Black Rise Constellation 2,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-07H,Black Rise,Black Rise Constellation 2,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-08I,Black Rise,Black Rise Constellation 2,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-09J,Black Rise,Black Rise Constellation 3,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-10K,Black Rise,Black Rise Constellation 3,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
BLA-11L,Black Rise,Black Rise Constellation 3,0.3,0.25,Lowsec Sovereign System,4,1,Caldari / FW
DEV-01B,DeVoid,DeVoid Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-02C,DeVoid,DeVoid Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-03D,DeVoid,DeVoid Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-04E,DeVoid,DeVoid Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-05F,DeVoid,DeVoid Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-06G,DeVoid,DeVoid Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-07H,DeVoid,DeVoid Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-08I,DeVoid,DeVoid Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-09J,DeVoid,DeVoid Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-10K,DeVoid,DeVoid Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
DEV-11L,DeVoid,DeVoid Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-01B,Derelik,Derelik Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-02C,Derelik,Derelik Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-03D,Derelik,Derelik Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-04E,Derelik,Derelik Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-05F,Derelik,Derelik Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-06G,Derelik,Derelik Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-07H,Derelik,Derelik Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-08I,Derelik,Derelik Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-09J,Derelik,Derelik Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-10K,Derelik,Derelik Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
DER-11L,Derelik,Derelik Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
KAD-01B,Kador,Kador Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-02C,Kador,Kador Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-03D,Kador,Kador Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-04E,Kador,Kador Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-05F,Kador,Kador Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-06G,Kador,Kador Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-07H,Kador,Kador Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-08I,Kador,Kador Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-09J,Kador,Kador Constellation 3,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-10K,Kador,Kador Constellation 3,0.7,0.65,Highsec Empire System,4,3,Amarr
KAD-11L,Kador,Kador Constellation 3,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-01B,Kor-Azor,Kor-Azor Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-02C,Kor-Azor,Kor-Azor Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-03D,Kor-Azor,Kor-Azor Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-04E,Kor-Azor,Kor-Azor Constellation 1,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-05F,Kor-Azor,Kor-Azor Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-06G,Kor-Azor,Kor-Azor Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-07H,Kor-Azor,Kor-Azor Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-08I,Kor-Azor,Kor-Azor Constellation 2,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-09J,Kor-Azor,Kor-Azor Constellation 3,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-10K,Kor-Azor,Kor-Azor Constellation 3,0.7,0.65,Highsec Empire System,4,3,Amarr
KOR-11L,Kor-Azor,Kor-Azor Constellation 3,0.7,0.65,Highsec Empire System,4,3,Amarr
TAS-01B,Tash-Murkon,Tash-Murkon Constellation 1,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-02C,Tash-Murkon,Tash-Murkon Constellation 1,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-03D,Tash-Murkon,Tash-Murkon Constellation 1,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-04E,Tash-Murkon,Tash-Murkon Constellation 1,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-05F,Tash-Murkon,Tash-Murkon Constellation 2,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-06G,Tash-Murkon,Tash-Murkon Constellation 2,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-07H,Tash-Murkon,Tash-Murkon Constellation 2,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-08I,Tash-Murkon,Tash-Murkon Constellation 2,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-09J,Tash-Murkon,Tash-Murkon Constellation 3,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-10K,Tash-Murkon,Tash-Murkon Constellation 3,0.8,0.75,Highsec Empire System,4,3,Amarr
TAS-11L,Tash-Murkon,Tash-Murkon Constellation 3,0.8,0.75,Highsec Empire System,4,3,Amarr
GEN-01B,Genesis,Genesis Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-02C,Genesis,Genesis Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-03D,Genesis,Genesis Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-04E,Genesis,Genesis Constellation 1,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-05F,Genesis,Genesis Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-06G,Genesis,Genesis Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-07H,Genesis,Genesis Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-08I,Genesis,Genesis Constellation 2,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-09J,Genesis,Genesis Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-10K,Genesis,Genesis Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
GEN-11L,Genesis,Genesis Constellation 3,0.6,0.55,Highsec Empire System,4,3,Amarr
SOL-01B,Solitude,Solitude Constellation 1,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-02C,Solitude,Solitude Constellation 1,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-03D,Solitude,Solitude Constellation 1,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-04E,Solitude,Solitude Constellation 1,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-05F,Solitude,Solitude Constellation 2,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-06G,Solitude,Solitude Constellation 2,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-07H,Solitude,Solitude Constellation 2,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-08I,Solitude,Solitude Constellation 2,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-09J,Solitude,Solitude Constellation 3,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-10K,Solitude,Solitude Constellation 3,0.5,0.45,Highsec Empire System,4,3,Gallente
SOL-11L,Solitude,Solitude Constellation 3,0.5,0.45,Highsec Empire System,4,3,Gallente
ARI-01B,Aridia,Aridia Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-02C,Aridia,Aridia Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-03D,Aridia,Aridia Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-04E,Aridia,Aridia Constellation 1,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-05F,Aridia,Aridia Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-06G,Aridia,Aridia Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-07H,Aridia,Aridia Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-08I,Aridia,Aridia Constellation 2,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-09J,Aridia,Aridia Constellation 3,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-10K,Aridia,Aridia Constellation 3,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
ARI-11L,Aridia,Aridia Constellation 3,0.4,0.35,Lowsec Sovereign System,4,1,Lowsec
SYN-01B,Syndicate,Syndicate Constellation 1,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-02C,Syndicate,Syndicate Constellation 1,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-03D,Syndicate,Syndicate Constellation 1,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-04E,Syndicate,Syndicate Constellation 1,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-05F,Syndicate,Syndicate Constellation 2,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-06G,Syndicate,Syndicate Constellation 2,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-07H,Syndicate,Syndicate Constellation 2,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-08I,Syndicate,Syndicate Constellation 2,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-09J,Syndicate,Syndicate Constellation 3,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-10K,Syndicate,Syndicate Constellation 3,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
SYN-11L,Syndicate,Syndicate Constellation 3,-0.2,-0.25,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Intaki)
OUT-01B,Outer Ring,Outer Ring Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-02C,Outer Ring,Outer Ring Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-03D,Outer Ring,Outer Ring Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-04E,Outer Ring,Outer Ring Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-05F,Outer Ring,Outer Ring Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-06G,Outer Ring,Outer Ring Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-07H,Outer Ring,Outer Ring Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-08I,Outer Ring,Outer Ring Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-09J,Outer Ring,Outer Ring Constellation 3,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-10K,Outer Ring,Outer Ring Constellation 3,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
OUT-11L,Outer Ring,Outer Ring Constellation 3,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (ORE)
CLO-01B,Cloud Ring,Cloud Ring Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-02C,Cloud Ring,Cloud Ring Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-03D,Cloud Ring,Cloud Ring Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-04E,Cloud Ring,Cloud Ring Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-05F,Cloud Ring,Cloud Ring Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
